model,target,fold,test_blocks,n_train,n_test,mae,rmse,r2,mape,bias,explained_variance
RandomForest,pH,1,Pampady,3052,1856,0.6514586421807885,0.8075527701431254,-0.18529794935672372,11.506633795521266,-0.12721652977408418,-0.155882682009302
RandomForest,pH,2,Vazhoor,3857,1051,0.7135304855675703,0.8705834099016422,-0.27631619018012277,13.888287834740357,0.37186527778849576,-0.04344875369174517
RandomForest,pH,3,Chelannur,3906,1002,0.5120386551916802,0.6522529907044767,-0.11305718665867293,8.81914758702218,0.11719488525460212,-0.07712342886412116
RandomForest,pH,4,Nedumangad,3909,999,0.7864480916876615,0.9088751961731919,-0.4823697681842445,12.117649679173253,-0.5106996549748735,-0.014333858331130322
RandomForest,EC,1,Pampady,3052,1856,0.14734491373355912,0.24819056691191663,-0.10345818039885057,103.6439730283266,0.06345241283087315,-0.03133387912507035
RandomForest,EC,2,Vazhoor,3857,1051,0.15902063341367165,0.26835005201097795,-0.06778659151524624,84.01755160053818,-0.062052094583535077,-0.010692129246733906
RandomForest,EC,3,Chelannur,3906,1002,0.13544087393844584,0.24667022046210185,-0.03202494892223773,112.52185425363086,0.022826921473330403,-0.023187000920465328
RandomForest,EC,4,Nedumangad,3909,999,0.13415019032634487,0.19951589018118224,-0.1924981038369893,83.77047741252605,0.0120626839488761,-0.18813906623850696
RandomForest,Organic_Carbon,1,Pampady,3052,1856,0.8683617103631296,1.0873767691620049,-0.08997411201119165,123.10908508614978,0.18411350156502024,-0.05872574277557341
RandomForest,Organic_Carbon,2,Vazhoor,3857,1051,0.9051382879802041,1.209206447991047,-0.08991033562789696,87.09834196576891,-0.19638317329032765,-0.06116294640862008
RandomForest,Organic_Carbon,3,Chelannur,3906,1002,0.589215074970816,0.8055991036310202,-0.021526699178886943,197.07744537088655,0.08481799422248697,-0.010203014445447689
RandomForest,Organic_Carbon,4,Nedumangad,3909,999,0.8041899647163283,1.0522721017788985,-0.06013826760924612,133.42012355015382,0.12944344475978029,-0.044095971714664284
RandomForest,P,1,Pampady,3052,1856,38.98932345901516,49.12534439672215,-0.03249096873717616,156.4928531772939,2.3222332620908843,-0.030183760847923846
RandomForest,P,2,Vazhoor,3857,1051,38.93688655264897,48.86719815658961,-0.04031319918328791,186.15819717152831,-1.5288447332291877,-0.0392949454911633
RandomForest,P,3,Chelannur,3906,1002,49.32229600658161,53.36003139755955,-2.6565229355982947,315.5263227605689,44.58024639699985,-0.10428547937154997
RandomForest,P,4,Nedumangad,3909,999,41.03852975664026,55.15023660110662,-0.09144831450763968,116.79333357074033,-13.661615838041241,-0.024473340703885516
RandomForest,K,1,Pampady,3052,1856,157.2252124295225,214.94169483459706,-0.4934311216972995,35.908529981800044,-120.45291076991677,-0.024425057728067356
RandomForest,K,2,Vazhoor,3857,1051,204.33815945673845,234.07155111258334,-0.632999030215954,128.43227235836343,139.96814446597648,-0.049087472977182633
RandomForest,K,3,Chelannur,3906,1002,116.7322043347276,142.48687033929863,-0.22691696700059794,76.10252835650684,52.22962440329479,-0.062063045371678616
RandomForest,K,4,Nedumangad,3909,999,139.6210781362184,172.96898760112498,-0.17867786628128934,69.69926648836757,60.52584347446541,-0.03435327307391112
RandomForest,Ca,1,Pampady,3052,1856,332.695266123777,384.8501763353715,-0.5241761305205987,413.35337203072805,167.36156297020622,-0.2359301749596583
RandomForest,Ca,2,Vazhoor,3857,1051,332.0685910086355,415.24479468633126,-0.4257425352080624,73.92798424220413,-223.36300047514413,-0.013212872027177136
RandomForest,Ca,3,Chelannur,3906,1002,346.23101003529416,371.01038573297893,-2.8511515282161066,132.75842548019412,316.6850013229571,-0.045243299032135864
RandomForest,Ca,4,Nedumangad,3909,999,283.69299522307995,330.1417519809804,-0.8864946030394081,46.68201145054379,-222.1670173582601,-0.032187862630142394
RandomForest,Mg,1,Pampady,3052,1856,95.2265637339798,116.36990074123258,-0.17951447663528985,214.56764153134066,47.37185414314457,0.015947692757698695
RandomForest,Mg,2,Vazhoor,3857,1051,137.64822195060148,165.91482161281746,-0.8704409728182121,56.32970884404145,-111.28830419748466,-0.028904995047431603
RandomForest,Mg,3,Chelannur,3906,1002,140.2133483687224,147.4269507596629,-3.154504082952573,206.68157599249471,127.4972082999001,-0.047321492246249486
RandomForest,Mg,4,Nedumangad,3909,999,89.77417520849879,116.54466658554276,-0.36635633471545614,54.63061652772701,-37.711646753614524,-0.2232924013102897
RandomForest,S,1,Pampady,3052,1856,23.052782705936046,33.09143698565704,-0.11690639167940198,626.2063081821263,-1.696575919326773,-0.11397055346049578
RandomForest,S,2,Vazhoor,3857,1051,18.23663342021194,25.37980395759621,-0.2170743388861618,175.71249073688426,-5.263901578529282,-0.164719587640747
RandomForest,S,3,Chelannur,3906,1002,16.77524348968485,23.127002095899474,-0.6464084020132574,335.5467468774752,13.85730718889224,-0.055314358085205795
RandomForest,S,4,Nedumangad,3909,999,15.457539991595667,24.428597077410195,-0.082531665579199,65.21099817127973,-5.563408326878257,-0.02638481137933968
RandomForest,Fe,1,Pampady,3052,1856,36.71434653319969,38.54795776869911,-29.173835925960912,735.1273715991226,36.71249876960954,-1.805041632745871
RandomForest,Fe,2,Vazhoor,3857,1051,34.08913598046121,46.73830775147993,-1.1493633326398776,60.50241518933072,-33.68289557757345,-0.03305875479571907
RandomForest,Fe,3,Chelannur,3906,1002,30.679734793851942,37.201968891976335,-0.20878403214743346,131.41395006721555,15.421667155880112,-0.0010634576827155406
RandomForest,Fe,4,Nedumangad,3909,999,33.782118372341834,48.01392565399749,-0.20077586914049017,160.57865201393489,-22.530679744000206,0.06363305515851725
RandomForest,Mn,1,Pampady,3052,1856,32.636907699694625,33.77950518321555,-32.6520517888573,566.7991554147231,32.636907699694625,-1.2380699731522644
RandomForest,Mn,2,Vazhoor,3857,1051,34.513943222021275,43.593618383612316,-1.6294078010853155,70.74285113316408,-34.28988386383875,-0.00257043357793707
RandomForest,Mn,3,Chelannur,3906,1002,15.580976414018858,19.02829488524561,-0.3908674011213005,176.72588876668064,7.673500912915531,-0.16467756794237598
RandomForest,Mn,4,Nedumangad,3909,999,13.778216181655543,21.895444996598897,-0.09128513717461151,79.76057726828986,-6.57178774893507,0.007024873906083529
RandomForest,Zn,1,Pampady,3052,1856,7.369714787351297,7.507253276780448,-273.9228047627042,2077.609769384947,7.369714787351297,-8.981304631250122
RandomForest,Zn,2,Vazhoor,3857,1051,5.820526026003389,7.218643723696144,-1.874376237911819,84.16356109801298,-5.820072011227415,-0.00589339292439206
RandomForest,Zn,3,Chelannur,3906,1002,3.2945375158108874,3.8778219598021892,-0.3224819750850718,146.06736498124732,1.8439571955303717,-0.02345132781554926
RandomForest,Zn,4,Nedumangad,3909,999,3.8051080731526503,5.261140672090008,-0.5215147523609067,67.8081831011432,-3.105231126505285,0.008519823613419075
RandomForest,Cu,1,Pampady,3052,1856,3.5013217792740727,3.639596789362746,-9.3063975128675,4757.167602644765,3.3093495648724596,-0.785494339789534
RandomForest,Cu,2,Vazhoor,3857,1051,2.4094988644298825,3.202739280985682,-1.4272885921176899,74.99658566635372,-1.9282756917731714,-0.547422674931743
RandomForest,Cu,3,Chelannur,3906,1002,1.3442207753805475,1.888572310554878,-0.10361868535923824,69.1379137174748,-0.27833763923230875,-0.07964715902023367
RandomForest,Cu,4,Nedumangad,3909,999,1.3812557021635425,2.1252467920982605,-0.2900590319180769,61.83710733165033,-1.0248472139112692,0.00993256832241396
RandomForest,B,1,Pampady,3052,1856,0.8676133446737176,1.1299109897754174,-0.2660438273031229,1696.6389953420244,0.4001213919773907,-0.10728283061310595
RandomForest,B,2,Vazhoor,3857,1051,0.9697108678529868,1.2688047687274904,-3.547040168209336,291.00701214806645,0.4443359594504319,-2.9893896511785645
RandomForest,B,3,Chelannur,3906,1002,0.36131794639122883,0.39780381420644434,-6.179800426635682,623.9726831655397,0.3529156647345026,-0.5289168720866173
RandomForest,B,4,Nedumangad,3909,999,0.25978492650046825,0.37473857640369723,-0.7294022778063411,60.674750546739844,-0.14298596348903123,-0.47761949240018176
