model,target,feature,importance
RandomForest,B,Elevation,0.1668244412382394
RandomForest,B,NDWI,0.1482393103606677
RandomForest,B,Aspect,0.14718617413498974
RandomForest,B,NDVI,0.14634755764658278
RandomForest,B,Rainfall,0.13205799796894185
RandomForest,Ca,Elevation,0.17511506356650808
RandomForest,Ca,NDWI,0.154190781274926
RandomForest,Ca,NDVI,0.1540943532816984
RandomForest,Ca,Aspect,0.1451785788798269
RandomForest,Ca,Rainfall,0.1217351445245773
RandomForest,Cu,Rainfall,0.19506264314081673
RandomForest,Cu,Elevation,0.14682478149411718
RandomForest,Cu,NDWI,0.13070825880166867
RandomForest,Cu,NDVI,0.12515349072092496
RandomForest,Cu,Aspect,0.12144883711616161
RandomForest,EC,NDVI,0.19939515472425443
RandomForest,EC,NDWI,0.19146580535421803
RandomForest,EC,Elevation,0.17813382731216182
RandomForest,EC,Aspect,0.15951002847983484
RandomForest,EC,Slope,0.11107060583908142
RandomForest,Fe,Rainfall,0.23434839535393678
RandomForest,Fe,Soil_Moisture,0.14723003259855807
RandomForest,Fe,Elevation,0.12842660409756207
RandomForest,Fe,NDWI,0.11362530532509206
RandomForest,Fe,NDVI,0.10575101077713314
RandomForest,K,Elevation,0.16738011964420063
RandomForest,K,NDWI,0.16638992887692183
RandomForest,K,NDVI,0.16133292037504768
RandomForest,K,Aspect,0.1505030983990571
RandomForest,K,Rainfall,0.11885897081412063
RandomForest,Mg,Temperature_C,0.16233875789954075
RandomForest,Mg,Elevation,0.16213500257797045
RandomForest,Mg,Rainfall,0.15739341941488863
RandomForest,Mg,NDWI,0.11287975430141182
RandomForest,Mg,NDVI,0.11233699913789073
RandomForest,Mn,Rainfall,0.2138569343448821
RandomForest,Mn,Elevation,0.14674694509590128
RandomForest,Mn,Soil_Moisture,0.11724671681865033
RandomForest,Mn,NDWI,0.11688857187666836
RandomForest,Mn,NDVI,0.11315340729345957
RandomForest,Organic_Carbon,NDVI,0.1728074337858287
RandomForest,Organic_Carbon,Elevation,0.17108231254318187
RandomForest,Organic_Carbon,NDWI,0.16911471391398883
RandomForest,Organic_Carbon,Aspect,0.15926075355407096
RandomForest,Organic_Carbon,Rainfall,0.11161176814906712
RandomForest,P,NDWI,0.1787572324669501
RandomForest,P,NDVI,0.1760748921759501
RandomForest,P,Elevation,0.1669919707553721
RandomForest,P,Aspect,0.16246086347543626
RandomForest,P,Slope,0.10663489500253752
RandomForest,S,Elevation,0.17605121173712643
RandomForest,S,NDVI,0.1677112758238814
RandomForest,S,NDWI,0.16184509769598207
RandomForest,S,Aspect,0.14117905152010665
RandomForest,S,Rainfall,0.10579582082134775
RandomForest,Zn,Rainfall,0.19176369878422936
RandomForest,Zn,Elevation,0.14336349602173076
RandomForest,Zn,NDWI,0.12567634002873332
RandomForest,Zn,NDVI,0.11825190880342795
RandomForest,Zn,Soil_Moisture,0.11565876803171894
RandomForest,pH,Elevation,0.15485392708983464
RandomForest,pH,Rainfall,0.15470480747906715
RandomForest,pH,NDWI,0.15069030493944735
RandomForest,pH,NDVI,0.1499748795722651
RandomForest,pH,Aspect,0.14054318591920384
