,count,mean,std,min,25%,50%,75%,max
pH,4908.0,5.89000814995925,0.7919112678959062,3.5,5.3,5.9,6.48,8.0
EC,4908.0,0.24121678891605544,0.23453295464403331,0.0,0.12,0.19,0.29,5.071
Organic_Carbon,4908.0,1.8825574962299523,1.0609589690411823,0.0299999993294477,1.1699999570846558,1.7200000286102295,2.430000066757202,7.03000020980835
P,4908.0,53.00456190057723,47.18553286047142,1.2999999523162842,19.22249984741211,35.81999969482422,70.61749839782715,285.4200134277344
K,4908.0,328.57900622793153,179.53731056424863,14.449999809265137,199.5800018310547,291.5350036621094,421.3699951171875,999.1499999999992
Ca,4908.0,548.5087163814181,309.2863933449342,0.0,298.4375,501.875,813.0,1788.8
Mg,4908.0,193.1932464782639,116.73150865298324,1.6699999570846558,100.8000030517578,167.74000549316406,263.7375015258782,500.0
S,4908.0,26.5876410948928,26.731833936344497,0.0599999986588954,10.84500026702881,17.5,32.9900016784668,549.27001953125
Fe,4908.0,33.304609996169276,34.59938782321335,0.4799999892711639,10.760000228881836,20.367000579833984,42.17749881744385,213.8999938964844
Mn,4908.0,22.789193957197526,21.919258179345984,0.0,8.507000171661378,15.899999618530272,27.782500514984108,290.0
Zn,4908.0,3.7837306670421427,4.0747116720812935,0.0579999999999999,0.800000011920929,2.400000095367432,5.602499961853027,29.6299991607666
Cu,4908.0,1.9246624378603554,2.052409924907754,0.0024999999441206,0.1230000033974647,1.559999942779541,2.799999952316284,13.0
B,4908.0,0.37406420215082364,0.70425201901861,0.0080000003799796,0.0480000004172325,0.1899999976158142,0.3799999952316284,4.869999885559082
Elevation,4908.0,68.36185819070904,36.54310719524891,0.0,38.0,66.0,93.0,267.0
Slope,4908.0,7.243276283618582,4.508252246287059,0.0,4.0,7.0,10.0,32.0
Aspect,4908.0,169.67359413202934,101.73789743936133,0.0,78.0,180.0,252.0,357.0
NDVI,4908.0,0.6786781225437652,0.11884219175770251,-0.0004580852,0.61903882,0.710315975,0.7677157349999999,0.86092275
NDWI,4908.0,-0.6280103569039324,0.08393259431934726,-0.7691952,-0.687291425,-0.648905335,-0.5896894500000001,0.04066828
Rainfall,4908.0,2919.7115856859996,341.2837941509086,2207.1181557178497,2548.534238815308,3059.11890232563,3214.5778534412384,3329.6252043247223
Temperature_C,4908.0,26.21559113360411,0.40378755645496295,25.537602091026827,26.01576770612627,26.02526806883691,26.166399919504613,27.08397624803541
Soil_Moisture,4908.0,0.40712591687601574,0.05471494602554161,0.1965837197695235,0.3928214516121284,0.4305015865823355,0.4400019563898574,0.4420472795716282
LULC,4908.0,11.079869600651996,6.353435967020332,10.0,10.0,10.0,10.0,80.0
