,pH,EC,Organic_Carbon,P,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B,Elevation,Slope,Aspect,NDVI,NDWI,Rainfall,Temperature_C,Soil_Moisture,LULC
pH,1.0,0.14935966745690155,-0.04196344534083706,0.06543811441608695,0.13169989537332946,0.2418238894305934,0.019935009516497702,-0.1583014802709294,0.17078744868689338,-0.011201030501137473,0.15163054678257665,0.09303964624737301,0.10377563167965483,-0.05764909495668514,0.03439363523343042,-0.0049060972494029765,-0.08481648628917794,0.09585210768145794,-0.35372744281272045,0.07859708133390068,-0.2404690866015774,0.02937990939983574
EC,0.14935966745690155,1.0,0.09885009458189317,0.14725605156431745,0.1431591426465594,0.17050063664216158,0.09530193918365781,0.03617429352328975,0.11499421021482965,0.0985532182016315,0.10541756177137422,0.044262073392580745,0.02301952404769462,-0.023130534281464672,-0.026413445682599523,0.001046964957440405,-0.038561891832550405,0.03857671176419547,0.0033128499607823865,-0.04543834926125199,-0.043742849246683306,0.021644390810565007
Organic_Carbon,-0.04196344534083706,0.09885009458189317,1.0,0.08557147906247897,0.14469114075822453,0.07625862866254901,0.10773770941717582,0.020982641366505368,-0.09786667944561407,0.05475442229450686,-0.011085355522371857,0.013012025641889892,0.16287575595727263,0.13823798161501755,0.01934120762714106,0.022800068950161567,0.0107919131883695,-0.024403980063621933,0.24728785044503082,-0.1895610763602459,0.2056012902649261,0.0035960338776815023
P,0.06543811441608695,0.14725605156431745,0.08557147906247897,1.0,0.1405451469755849,0.24791954646120662,0.18098547893351966,0.05983317526393096,-0.005815387385718533,0.027058464002842827,0.047596401468431936,-0.03951130407864726,-0.03737242532359964,0.031174168716296045,-0.008046930630349367,-0.033666472418320416,-0.023059359944208536,0.02144962771602329,0.08230731192436748,-0.2010497504229382,0.02957948357995867,0.019828644424314666
K,0.13169989537332946,0.1431591426465594,0.14469114075822453,0.1405451469755849,1.0,0.1898483558597086,0.17112113011643895,0.03172011911781054,-0.15927198597403422,-0.10755654162953095,-0.1907056310897312,-0.21731688963397874,-0.022690897184445367,0.04977873454905134,-0.015887565445102662,0.025383979310994148,0.000707974769017061,-0.0018031379501987895,0.26378184352576733,-0.26674089750180485,0.1825954247459135,0.009529624252978946
Ca,0.2418238894305934,0.17050063664216158,0.07625862866254901,0.24791954646120662,0.1898483558597086,1.0,0.3187323804611497,0.09986479431644495,0.11648308750049277,0.14665754241983114,0.20894872085345487,0.05008815814711269,-0.16067990936395854,0.15037804575880293,0.07005905788439284,-0.013374547068189973,-0.039176670902262664,0.037655627312224715,-0.0018949640578712383,-0.24657981286726977,0.024106585806276372,0.025212062056690344
Mg,0.019935009516497702,0.09530193918365781,0.10773770941717582,0.18098547893351966,0.17112113011643895,0.3187323804611497,1.0,0.11781493542421824,0.08479322994227807,0.24202217973183773,0.11858000204575653,-0.08306304880759888,-0.20637919726382392,0.24535513614145413,0.07495724218301514,-0.03897164097226817,-0.017286786517635717,0.01815819671592192,0.11771139698849223,-0.336442158833387,0.09990781418036931,0.013547650470938477
S,-0.1583014802709294,0.03617429352328975,0.020982641366505368,0.05983317526393096,0.03172011911781054,0.09986479431644495,0.11781493542421824,1.0,-0.020242416258029097,0.03991182752549281,-0.055253993093139706,-0.13865294188566143,-0.14475786378060984,0.11428992871483672,-0.004558031639069581,-0.0055451667049273776,0.008230757266495733,-0.012421058630477422,0.20056325178947657,-0.2588683526675493,0.14988171161311623,-0.00789956552631261
Fe,0.17078744868689338,0.11499421021482965,-0.09786667944561407,-0.005815387385718533,-0.15927198597403422,0.11648308750049277,0.08479322994227807,-0.020242416258029097,1.0,0.4948888392525497,0.5141196040421057,0.4173248748180602,0.06983604414323501,-0.017687887514319798,0.0357291867002215,-0.006512907345156408,-0.05561121767283421,0.07277939339365916,-0.3698511412920051,0.09458336175708895,-0.3554915381736231,-0.0118122318739832
Mn,-0.011201030501137473,0.0985532182016315,0.05475442229450686,0.027058464002842827,-0.10755654162953095,0.14665754241983114,0.24202217973183773,0.03991182752549281,0.4948888392525497,1.0,0.4786970972177374,0.4421801556595808,0.0638197853078343,0.11835492516246707,0.07015013032806074,-0.010930782697444855,-0.014281295531687837,0.023916202573071782,-0.033651934639150054,-0.06650686196709109,0.02001306451829314,0.002051172139199699
Zn,0.15163054678257665,0.10541756177137422,-0.011085355522371857,0.047596401468431936,-0.1907056310897312,0.20894872085345487,0.11858000204575653,-0.055253993093139706,0.5141196040421057,0.4786970972177374,1.0,0.5254896990076894,0.15911963670429047,0.08784608477255934,0.07339154529931119,-0.017944395278347906,-0.03896078963973545,0.049640019370232706,-0.3252930970374318,0.06884016661472867,-0.25447627823565366,0.01382063892919879
Cu,0.09303964624737301,0.044262073392580745,0.013012025641889892,-0.03951130407864726,-0.21731688963397874,0.05008815814711269,-0.08306304880759888,-0.13865294188566143,0.4173248748180602,0.4421801556595808,0.5254896990076894,1.0,0.38969238941994855,-0.019692184493612184,0.04889027698966498,-0.01601927843247948,0.0004885652391483185,0.013944502461471322,-0.3098174242691962,0.17936837259183658,-0.19458063669952205,-0.008640031125548576
B,0.10377563167965483,0.02301952404769462,0.16287575595727263,-0.03737242532359964,-0.022690897184445367,-0.16067990936395854,-0.20637919726382392,-0.14475786378060984,0.06983604414323501,0.0638197853078343,0.15911963670429047,0.38969238941994855,1.0,-0.03677732910902312,0.00023755190351167036,0.004178197629252521,0.0038144339937656382,-0.00345658663652188,0.07356971820706118,-0.13364943872439786,0.060689881095322244,-0.01781474970923922
Elevation,-0.05764909495668514,-0.023130534281464672,0.13823798161501755,0.031174168716296045,0.04977873454905134,0.15037804575880293,0.24535513614145413,0.11428992871483672,-0.017687887514319798,0.11835492516246707,0.08784608477255934,-0.019692184493612184,-0.03677732910902312,1.0,0.2717308325259986,-0.0047461328890361296,0.10534200979360588,-0.12157624310512055,0.06823352820946066,-0.3925022619274358,0.2186281253729326,-0.05147802741786575
Slope,0.03439363523343042,-0.026413445682599523,0.01934120762714106,-0.008046930630349367,-0.015887565445102662,0.07005905788439284,0.07495724218301514,-0.004558031639069581,0.0357291867002215,0.07015013032806074,0.07339154529931119,0.04889027698966498,0.00023755190351167036,0.2717308325259986,1.0,0.019574266928613672,0.08562250662335034,-0.0926836320492088,-0.10604225950184054,-0.0033407275182150884,0.017176515276343663,-0.04588639998682965
Aspect,-0.0049060972494029765,0.001046964957440405,0.022800068950161567,-0.033666472418320416,0.025383979310994148,-0.013374547068189973,-0.03897164097226817,-0.0055451667049273776,-0.006512907345156408,-0.010930782697444855,-0.017944395278347906,-0.01601927843247948,0.004178197629252521,-0.0047461328890361296,0.019574266928613672,1.0,0.012706519479340282,-0.002413299909654509,0.030649583201007816,0.017901044795862107,0.03859786048254365,-0.004142757460861167
NDVI,-0.08481648628917794,-0.038561891832550405,0.0107919131883695,-0.023059359944208536,0.000707974769017061,-0.039176670902262664,-0.017286786517635717,0.008230757266495733,-0.05561121767283421,-0.014281295531687837,-0.03896078963973545,0.0004885652391483185,0.0038144339937656382,0.10534200979360588,0.08562250662335034,0.012706519479340282,1.0,-0.9729713745229622,0.0364018288729342,0.007862410647816662,0.10196740525404208,-0.38478841725356944
NDWI,0.09585210768145794,0.03857671176419547,-0.024403980063621933,0.02144962771602329,-0.0018031379501987895,0.037655627312224715,0.01815819671592192,-0.012421058630477422,0.07277939339365916,0.023916202573071782,0.049640019370232706,0.013944502461471322,-0.00345658663652188,-0.12157624310512055,-0.0926836320492088,-0.002413299909654509,-0.9729713745229622,1.0,-0.05746413128612262,-0.010978157114844594,-0.11672884122525187,0.4119563262966996
Rainfall,-0.35372744281272045,0.0033128499607823865,0.24728785044503082,0.08230731192436748,0.26378184352576733,-0.0018949640578712383,0.11771139698849223,0.20056325178947657,-0.3698511412920051,-0.033651934639150054,-0.3252930970374318,-0.3098174242691962,0.07356971820706118,0.06823352820946066,-0.10604225950184054,0.030649583201007816,0.0364018288729342,-0.05746413128612262,1.0,-0.5249818737102826,0.6604935799059384,-0.001983540165991972
Temperature_C,0.07859708133390068,-0.04543834926125199,-0.1895610763602459,-0.2010497504229382,-0.26674089750180485,-0.24657981286726977,-0.336442158833387,-0.2588683526675493,0.09458336175708895,-0.06650686196709109,0.06884016661472867,0.17936837259183658,-0.13364943872439786,-0.3925022619274358,-0.0033407275182150884,0.017901044795862107,0.007862410647816662,-0.010978157114844594,-0.5249818737102826,1.0,-0.3890017863300586,-0.021435549100718616
Soil_Moisture,-0.2404690866015774,-0.043742849246683306,0.2056012902649261,0.02957948357995867,0.1825954247459135,0.024106585806276372,0.09990781418036931,0.14988171161311623,-0.3554915381736231,0.02001306451829314,-0.25447627823565366,-0.19458063669952205,0.060689881095322244,0.2186281253729326,0.017176515276343663,0.03859786048254365,0.10196740525404208,-0.11672884122525187,0.6604935799059384,-0.3890017863300586,1.0,-0.06214005156409898
LULC,0.02937990939983574,0.021644390810565007,0.0035960338776815023,0.019828644424314666,0.009529624252978946,0.025212062056690344,0.013547650470938477,-0.00789956552631261,-0.0118122318739832,0.002051172139199699,0.01382063892919879,-0.008640031125548576,-0.01781474970923922,-0.05147802741786575,-0.04588639998682965,-0.004142757460861167,-0.38478841725356944,0.4119563262966996,-0.001983540165991972,-0.021435549100718616,-0.06214005156409898,1.0
