model,target,feature,importance
XGBoost,pH,Rainfall,0.31919283
XGBoost,pH,Soil_Moisture,0.21069565
XGBoost,pH,Temperature_C,0.1293
XGBoost,pH,Elevation,0.06960888
XGBoost,pH,NDVI,0.05876866
XGBoost,pH,NDWI,0.058743123
XGBoost,pH,Aspect,0.056268796
XGBoost,pH,Slope,0.049832292
XGBoost,pH,LULC,0.04758973
XGBoost,EC,Soil_Moisture,0.14667109
XGBoost,EC,Aspect,0.14354452
XGBoost,EC,NDWI,0.12703468
XGBoost,EC,NDVI,0.12000171
XGBoost,EC,Rainfall,0.11011976
XGBoost,EC,Temperature_C,0.105500944
XGBoost,EC,Elevation,0.10296641
XGBoost,EC,Slope,0.088958755
XGBoost,EC,LULC,0.055202078
XGBoost,Organic_Carbon,Rainfall,0.25421673
XGBoost,Organic_Carbon,Soil_Moisture,0.15548907
XGBoost,Organic_Carbon,Temperature_C,0.106532514
XGBoost,Organic_Carbon,Elevation,0.09584413
XGBoost,Organic_Carbon,NDVI,0.087937035
XGBoost,Organic_Carbon,NDWI,0.084012225
XGBoost,Organic_Carbon,Aspect,0.08397417
XGBoost,Organic_Carbon,Slope,0.07787219
XGBoost,Organic_Carbon,LULC,0.054121975
XGBoost,P,Temperature_C,0.27730006
XGBoost,P,Soil_Moisture,0.22439748
XGBoost,P,Rainfall,0.09091294
XGBoost,P,NDWI,0.078765795
XGBoost,P,Aspect,0.07157349
XGBoost,P,Elevation,0.07001929
XGBoost,P,NDVI,0.06983161
XGBoost,P,LULC,0.059334513
XGBoost,P,Slope,0.057864834
XGBoost,K,Rainfall,0.2152356
XGBoost,K,Temperature_C,0.19405492
XGBoost,K,Soil_Moisture,0.19315346
XGBoost,K,Elevation,0.08211146
XGBoost,K,NDWI,0.0700196
XGBoost,K,Aspect,0.06857173
XGBoost,K,NDVI,0.06794507
XGBoost,K,Slope,0.06116215
XGBoost,K,LULC,0.047745984
XGBoost,Ca,Temperature_C,0.3178668
XGBoost,Ca,Soil_Moisture,0.17178984
XGBoost,Ca,Rainfall,0.16577402
XGBoost,Ca,Elevation,0.072070785
XGBoost,Ca,Slope,0.060227063
XGBoost,Ca,NDWI,0.05856435
XGBoost,Ca,NDVI,0.056292728
XGBoost,Ca,Aspect,0.053868804
XGBoost,Ca,LULC,0.043545637
XGBoost,Mg,Temperature_C,0.4088219
XGBoost,Mg,Rainfall,0.18735746
XGBoost,Mg,Soil_Moisture,0.1535772
XGBoost,Mg,Elevation,0.07113846
XGBoost,Mg,NDVI,0.039421946
XGBoost,Mg,Aspect,0.03791467
XGBoost,Mg,NDWI,0.037626132
XGBoost,Mg,Slope,0.036048505
XGBoost,Mg,LULC,0.028093785
XGBoost,S,Temperature_C,0.249885
XGBoost,S,Soil_Moisture,0.18575747
XGBoost,S,Elevation,0.111100085
XGBoost,S,Rainfall,0.10516076
XGBoost,S,NDVI,0.089104205
XGBoost,S,NDWI,0.08699687
XGBoost,S,Slope,0.074467525
XGBoost,S,Aspect,0.0608045
XGBoost,S,LULC,0.036723617
XGBoost,Fe,Rainfall,0.27769282
XGBoost,Fe,Soil_Moisture,0.26474884
XGBoost,Fe,Temperature_C,0.17821908
XGBoost,Fe,Elevation,0.052985713
XGBoost,Fe,Slope,0.050847396
XGBoost,Fe,NDWI,0.05066981
XGBoost,Fe,Aspect,0.04730135
XGBoost,Fe,NDVI,0.046673406
XGBoost,Fe,LULC,0.030861646
XGBoost,Mn,Temperature_C,0.2588254
XGBoost,Mn,Rainfall,0.23909703
XGBoost,Mn,Soil_Moisture,0.21044385
XGBoost,Mn,Elevation,0.075200066
XGBoost,Mn,Aspect,0.048925184
XGBoost,Mn,NDWI,0.048813276
XGBoost,Mn,NDVI,0.04457326
XGBoost,Mn,Slope,0.044310953
XGBoost,Mn,LULC,0.02981099
XGBoost,Zn,Temperature_C,0.31261083
XGBoost,Zn,Rainfall,0.22989602
XGBoost,Zn,Soil_Moisture,0.18960778
XGBoost,Zn,Elevation,0.058138765
XGBoost,Zn,NDWI,0.05374485
XGBoost,Zn,Aspect,0.046659432
XGBoost,Zn,NDVI,0.042045143
XGBoost,Zn,Slope,0.038875088
XGBoost,Zn,LULC,0.02842214
XGBoost,Cu,Temperature_C,0.24484172
XGBoost,Cu,Rainfall,0.2440539
XGBoost,Cu,Soil_Moisture,0.21421282
XGBoost,Cu,Elevation,0.06807326
XGBoost,Cu,Aspect,0.052497197
XGBoost,Cu,NDWI,0.051406547
XGBoost,Cu,Slope,0.049390532
XGBoost,Cu,NDVI,0.047755904
XGBoost,Cu,LULC,0.027768081
XGBoost,B,Temperature_C,0.24164589
XGBoost,B,Rainfall,0.1429985
XGBoost,B,Soil_Moisture,0.13934164
XGBoost,B,Slope,0.1012548
XGBoost,B,NDVI,0.09813073
XGBoost,B,Aspect,0.09196547
XGBoost,B,Elevation,0.09188565
XGBoost,B,NDWI,0.07670758
XGBoost,B,LULC,0.016069718
