model,target,fold,test_blocks,n_train,n_test,mae,rmse,r2,mape,bias,explained_variance
XGBoost,pH,1,Pampady,3052,1856,0.654344725444399,0.8114799423713757,-0.19685431520699415,11.407568764347843,-0.2032621925041593,-0.1217614073175064
XGBoost,pH,2,Vazhoor,3857,1051,0.8058751764488039,0.9723302126934594,-0.5920806563780323,15.77946100714816,0.5202703036771968,-0.1362583440081615
XGBoost,pH,3,Chelannur,3906,1002,0.5168085627641507,0.6556339956973805,-0.12462633395666378,8.740441320196,-0.012457979034758846,-0.12422028302504917
XGBoost,pH,4,Nedumangad,3909,999,0.7614539121602989,0.8863325874878687,-0.409747979517745,11.834891072320204,-0.43797500952108726,-0.06551957177702605
XGBoost,EC,1,Pampady,3052,1856,0.14208189760411863,0.24910439093415143,-0.11159888437908339,98.45388600230243,0.05199893095659028,-0.06316222678666072
XGBoost,EC,2,Vazhoor,3857,1051,0.16147851473512703,0.27075828047655587,-0.08703765939181252,85.6662396337298,-0.06359252321476261,-0.027073298426524284
XGBoost,EC,3,Chelannur,3906,1002,0.1311488247149124,0.2520658693074427,-0.07766763827769885,93.70083428748556,-0.022426777610938236,-0.06913682364020945
XGBoost,EC,4,Nedumangad,3909,999,0.1570349503885041,0.33058554134739687,-2.273937821033404,93.1940253972178,0.00906153350412189,-2.2714779852336373
XGBoost,Organic_Carbon,1,Pampady,3052,1856,0.8759253984648365,1.0870632322801865,-0.0893456310210925,123.01859412277992,0.19796855362425236,-0.05321724983721787
XGBoost,Organic_Carbon,2,Vazhoor,3857,1051,0.9273659835851168,1.2297800536198273,-0.1273136140222455,85.70569602276319,-0.20428088562384283,-0.096207531035015
XGBoost,Organic_Carbon,3,Chelannur,3906,1002,0.5832188490596033,0.8098140367552926,-0.03224401609141658,172.0281699456448,-0.07298786071744448,-0.023858823486055503
XGBoost,Organic_Carbon,4,Nedumangad,3909,999,0.826081666957449,1.0665556228550934,-0.08911419372807927,138.45674907359012,0.1933039054274559,-0.05333853364496277
XGBoost,P,1,Pampady,3052,1856,38.90124872609459,50.021366529430985,-0.07049871292279941,149.1233544194327,-1.0452953641270768,-0.07003124362361524
XGBoost,P,2,Vazhoor,3857,1051,38.889851759051226,49.37339378721522,-0.06197719650268452,178.55960367659546,-4.587686647105767,-0.052808307320157066
XGBoost,P,3,Chelannur,3906,1002,49.174377449972184,53.84650125687117,-2.723498030306921,315.45050950629695,44.741341589929576,-0.1527817144799959
XGBoost,P,4,Nedumangad,3909,999,42.17389465846099,56.0889319368099,-0.12891892842101527,121.4100843923714,-11.185028080348376,-0.08402552075236658
XGBoost,K,1,Pampady,3052,1856,158.63389526153432,216.54566113430334,-0.5158032433678228,36.38432916067881,-120.1053373114816,-0.049499959524870185
XGBoost,K,2,Vazhoor,3857,1051,193.37091453649543,225.06016184234142,-0.5096835204776864,120.4294969668888,120.79787981509935,-0.0747656185001555
XGBoost,K,3,Chelannur,3906,1002,114.77462978991205,141.58403937627395,-0.21141814521810653,73.13664519914805,44.41565438135417,-0.09220130486458666
XGBoost,K,4,Nedumangad,3909,999,163.24035384490324,196.56539517429158,-0.5222036848823488,84.67248564950688,103.46556703416674,-0.10045831275109984
XGBoost,Ca,1,Pampady,3052,1856,333.4264441036356,385.17186414603,-0.5267252461601934,408.1066021884802,170.06433381968532,-0.229094179603482
XGBoost,Ca,2,Vazhoor,3857,1051,347.5690687913831,430.5447947033146,-0.5327432007135247,74.07256390452133,-250.72274278838557,-0.01296247327834732
XGBoost,Ca,3,Chelannur,3906,1002,411.4960693408106,440.08824295844744,-4.418736160667112,156.72579928740947,390.7190595030642,-0.1475582039824137
XGBoost,Ca,4,Nedumangad,3909,999,335.58922762239774,389.00337518439954,-1.619156220100483,50.81800009415193,-292.666166463094,-0.1366391534550706
XGBoost,Mg,1,Pampady,3052,1856,99.15480544938353,121.83538632022925,-0.29291161552763745,214.29945214184877,52.59292797673622,-0.05198951156499443
XGBoost,Mg,2,Vazhoor,3857,1051,154.6324907637139,185.7827545694492,-1.3452245623480974,60.96390767055118,-130.19334724956155,-0.19349311801322266
XGBoost,Mg,3,Chelannur,3906,1002,155.74598357539452,163.9266909396658,-4.136470146937227,229.07443244039146,144.5573812573256,-0.14212151309818255
XGBoost,Mg,4,Nedumangad,3909,999,99.27589264717903,124.93477825887015,-0.5701670800561287,57.30885594783106,-54.74208107605592,-0.26871257802670345
XGBoost,S,1,Pampady,3052,1856,23.203528162951034,32.956253496972494,-0.10779957049627042,612.7244855299645,-1.1971643523810882,-0.10633775326817196
XGBoost,S,2,Vazhoor,3857,1051,19.426964491257152,26.805282148862414,-0.3576297472263954,176.62778166948453,-8.581107090585933,-0.21849768468201747
XGBoost,S,3,Chelannur,3906,1002,13.446202802388164,22.39198135829475,-0.543419354601401,293.7544005466783,9.98485575161666,-0.23652953317817693
XGBoost,S,4,Nedumangad,3909,999,15.780662662632114,23.925979981033905,-0.03844386819430734,71.58958639180086,-3.6224416650689997,-0.014640064664579233
XGBoost,Fe,1,Pampady,3052,1856,39.47433314253224,42.576085165403086,-35.80944143593713,796.8881448025917,39.47219499649352,-4.171346080481477
XGBoost,Fe,2,Vazhoor,3857,1051,33.922070359199104,46.497432002028326,-1.1272660247049395,61.45872992044665,-32.500280323205416,-0.08797283437039738
