model,target,variogram_model,fold,test_blocks,n_train_available,n_train_used,n_test,n_closest_points,status,error,mae,rmse,r2,mape,bias,explained_variance
OrdinaryKriging,pH,spherical,1,Pampady,3052,1200,1856,48,success,,0.7753558971861416,0.9394061071575042,-0.6039560686804719,12.918816480544844,-0.5671111034810967,-0.019405602169142888
OrdinaryKriging,pH,spherical,2,Vazhoor,3857,1200,1051,48,success,,0.6703563558322586,0.8227346405628831,-0.13987458664983343,12.939910208784994,0.25442790906190443,-0.03086442032488379
OrdinaryKriging,pH,spherical,3,Chelannur,3906,1200,1002,48,success,,0.5100132585373597,0.6494446226553959,-0.10349296898199944,8.902058312469606,0.19888991542619353,3.3306690738754696e-16
OrdinaryKriging,pH,spherical,4,Nedumangad,3909,1200,999,48,success,,1.1229543204508827,1.2694814031838173,-1.89201627692954,16.79323173916752,-1.026786589589047,-7.164600168296786e-05
OrdinaryKriging,pH,exponential,1,Pampady,3052,1200,1856,48,success,,0.8667933365455894,1.0352840504210943,-0.9480708922164884,14.450241217185303,-0.671669982166975,-0.1281015976457991
OrdinaryKriging,pH,exponential,2,Vazhoor,3857,1200,1051,48,success,,0.670647990035247,0.8230575437283447,-0.1407695078629616,12.947302049918235,0.25546040949047216,-0.030872792408539906
OrdinaryKriging,pH,exponential,3,Chelannur,3906,1200,1002,48,success,,0.4811610863456987,0.6185584157680049,-0.0010292321895539747,8.18833268291933,0.01983417005694127,5.806821690157449e-11
OrdinaryKriging,pH,exponential,4,Nedumangad,3909,1200,999,48,success,,1.1202560835644622,1.2666875841943368,-1.879301038769404,16.75380284483506,-1.0232746481164172,-0.00027639703211557176
OrdinaryKriging,pH,gaussian,1,Pampady,3052,1200,1856,48,success,,0.6494882494984356,0.799476672367159,-0.16170886342856416,11.26080675227395,-0.24826755348230267,-0.04968110668176928
OrdinaryKriging,pH,gaussian,2,Vazhoor,3857,1200,1051,48,success,,0.6694295371384259,0.8216276365159891,-0.13680920736405433,12.919309280886552,0.2525080059327544,-0.029438006803684358
OrdinaryKriging,pH,gaussian,3,Chelannur,3906,1200,1002,48,success,,18.37849545317013,18.388891109622755,-883.7007636285695,306.46896433178523,-18.37849545317013,1.8367840581845485e-10
OrdinaryKriging,pH,gaussian,4,Nedumangad,3909,1200,999,48,success,,1.1130457259701827,1.2585586051138382,-1.842463739966555,16.653119235287516,-1.013356393503494,0.00031193281298880216
OrdinaryKriging,pH,linear,1,Pampady,3052,1200,1856,48,success,,0.65479166667913,0.8057637900115533,-0.1800521603383185,11.282543209958531,-0.28264682116861123,-0.03484971794910696
OrdinaryKriging,pH,linear,2,Vazhoor,3857,1200,1051,48,success,,0.6729997224883526,0.8255832685868292,-0.14778163190357985,13.004620586972699,0.26286770536941007,-0.03141941872121312
OrdinaryKriging,pH,linear,3,Chelannur,3906,1200,1002,48,success,,0.5229429093468612,0.6642987005252511,-0.15454835192952587,9.172327415550233,0.2430901736072068,5.543498655191659e-05
OrdinaryKriging,pH,linear,4,Nedumangad,3909,1200,999,48,success,,1.1143524078331906,1.2599307326153146,-1.8486650384007555,16.671798060109346,-1.0150812517587102,0.0003892387780496387
OrdinaryKriging,EC,spherical,1,Pampady,3052,1200,1856,48,success,,0.1335396161302614,0.24208823845129568,-0.04986320995534643,87.37331713870576,0.03589341907987957,-0.026784315777034662
OrdinaryKriging,EC,spherical,2,Vazhoor,3857,1200,1051,48,success,,0.15760968777263004,0.2716083949329484,-0.09387443764876924,77.49580446015631,-0.08015360858918423,0.0013892204624952331
OrdinaryKriging,EC,spherical,3,Chelannur,3906,1200,1002,48,success,,0.12854102033546227,0.24304417765190986,-0.0019065034470933107,102.1665808456305,0.010602063991774432,1.1102230246251565e-16
OrdinaryKriging,EC,spherical,4,Nedumangad,3909,1200,999,48,success,,0.13478010195885579,0.19497456500646115,-0.13882931228002726,85.93544059695505,0.023357540265694834,-0.12248536588931525
OrdinaryKriging,EC,exponential,1,Pampady,3052,1200,1856,48,success,,0.1489878309425505,0.2619872641302409,-0.22954858927443067,91.76932724555117,0.04006562877058308,-0.2007925371612469
OrdinaryKriging,EC,exponential,2,Vazhoor,3857,1200,1051,48,success,,0.15755893797693063,0.27179001711411077,-0.0953378554964317,77.13107309579236,-0.08083631866173116,0.0015555343028361701
OrdinaryKriging,EC,exponential,3,Chelannur,3906,1200,1002,48,success,,0.12855110641242012,0.24304561120814627,-0.0019183226444596801,102.18475635613777,0.010634876488890574,-2.220446049250313e-16
OrdinaryKriging,EC,exponential,4,Nedumangad,3909,1200,999,48,success,,0.131517976309643,0.18754438161110915,-0.05368508641267411,87.28595750494694,0.03756360527193857,-0.011414599239258916
OrdinaryKriging,EC,gaussian,1,Pampady,3052,1200,1856,48,success,,0.13198143156971812,0.24069576162195044,-0.03782044576413646,86.6941558186242,0.034551229099234526,-0.016435293884460744
OrdinaryKriging,EC,gaussian,2,Vazhoor,3857,1200,1051,48,success,,0.15769241539690365,0.2718815117875999,-0.09607544291044978,77.28939524741104,-0.08072217417767699,0.0005445045136035498
OrdinaryKriging,EC,gaussian,3,Chelannur,3906,1200,1002,48,success,,0.12602474651987453,0.24281966474366135,-5.6329128471421797e-05,97.38050364238747,0.0018223766396218899,1.1102230246251565e-16
OrdinaryKriging,EC,gaussian,4,Nedumangad,3909,1200,999,48,success,,0.13070717184557892,0.1895044256294351,-0.0758244999671267,84.49284054432403,0.026273800802361157,-0.05514459576479647
OrdinaryKriging,EC,linear,1,Pampady,3052,1200,1856,48,success,,0.13194565038481032,0.24062578754857195,-0.03721711176633313,86.71235886831876,0.03458771051054462,-0.01578677640613635
OrdinaryKriging,EC,linear,2,Vazhoor,3857,1200,1051,48,success,,0.157648057965643,0.2718123234275397,-0.09551765571428783,77.33959056622018,-0.08052030508939849,0.0006196438505250423
OrdinaryKriging,EC,linear,3,Chelannur,3906,1200,1002,48,success,,0.1285352440081692,0.24304335804374588,-0.00189974607999166,102.1561727523054,0.01058327520918525,6.0141108759736994e-09
OrdinaryKriging,EC,linear,4,Nedumangad,3909,1200,999,48,success,,0.13151797630541995,0.18754438160923423,-0.053685086391606296,87.28595750006463,0.037563605259613844,-0.011414599245929358
