district,block,target,variogram_model,status,error,tif_path,png_path,stats_path
Kottayam,Pampady,pH,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\pH\pH_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\pH\pH_ok_best_stats.csv
Kottayam,Pampady,EC,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\EC\EC_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\EC\EC_ok_best_stats.csv
Kottayam,Pampady,P,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\P\P_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\P\P_ok_best_stats.csv
Kottayam,Pampady,K,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\K\K_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\K\K_ok_best_stats.csv
Kottayam,Pampady,Organic_Carbon,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Organic_Carbon\Organic_Carbon_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Organic_Carbon\Organic_Carbon_ok_best_stats.csv
Kottayam,Pampady,Ca,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Ca\Ca_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Ca\Ca_ok_best_stats.csv
Kottayam,Pampady,Mg,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Mg\Mg_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Mg\Mg_ok_best_stats.csv
Kottayam,Pampady,S,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\S\S_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\S\S_ok_best_stats.csv
Kottayam,Pampady,Fe,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Fe\Fe_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Fe\Fe_ok_best_stats.csv
Kottayam,Pampady,Mn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Mn\Mn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Mn\Mn_ok_best_stats.csv
Kottayam,Pampady,Zn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Zn\Zn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Zn\Zn_ok_best_stats.csv
Kottayam,Pampady,Cu,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Cu\Cu_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\Cu\Cu_ok_best_stats.csv
Kottayam,Pampady,B,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\B\B_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Pampady\B\B_ok_best_stats.csv
Kottayam,Vazhoor,pH,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\pH\pH_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\pH\pH_ok_best_stats.csv
Kottayam,Vazhoor,EC,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\EC\EC_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\EC\EC_ok_best_stats.csv
Kottayam,Vazhoor,P,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\P\P_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\P\P_ok_best_stats.csv
Kottayam,Vazhoor,K,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\K\K_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\K\K_ok_best_stats.csv
Kottayam,Vazhoor,Organic_Carbon,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Organic_Carbon\Organic_Carbon_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Organic_Carbon\Organic_Carbon_ok_best_stats.csv
Kottayam,Vazhoor,Ca,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Ca\Ca_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Ca\Ca_ok_best_stats.csv
Kottayam,Vazhoor,Mg,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Mg\Mg_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Mg\Mg_ok_best_stats.csv
Kottayam,Vazhoor,S,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\S\S_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\S\S_ok_best_stats.csv
Kottayam,Vazhoor,Fe,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Fe\Fe_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Fe\Fe_ok_best_stats.csv
Kottayam,Vazhoor,Mn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Mn\Mn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Mn\Mn_ok_best_stats.csv
Kottayam,Vazhoor,Zn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Zn\Zn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Zn\Zn_ok_best_stats.csv
Kottayam,Vazhoor,Cu,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Cu\Cu_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\Cu\Cu_ok_best_stats.csv
Kottayam,Vazhoor,B,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\B\B_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kottayam\Vazhoor\B\B_ok_best_stats.csv
Kozhikode,Chelannur,pH,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\pH\pH_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\pH\pH_ok_best_stats.csv
Kozhikode,Chelannur,EC,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\EC\EC_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\EC\EC_ok_best_stats.csv
Kozhikode,Chelannur,P,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\P\P_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\P\P_ok_best_stats.csv
Kozhikode,Chelannur,K,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\K\K_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\K\K_ok_best_stats.csv
Kozhikode,Chelannur,Organic_Carbon,linear,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Organic_Carbon\Organic_Carbon_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Organic_Carbon\Organic_Carbon_ok_best_stats.csv
Kozhikode,Chelannur,Ca,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Ca\Ca_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Ca\Ca_ok_best_stats.csv
Kozhikode,Chelannur,Mg,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Mg\Mg_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Mg\Mg_ok_best_stats.csv
