system:index,Aspect,B,Block,Ca,Cu,District,EC,Elevation,Fe,K,LULC,Latitude,Longitude,Mg,Mn,NDVI,NDWI,Organic_Carbon,P,Rainfall,S,Slope,Soil_Moisture,Temperature_C,Zn,pH,.geo,x_utm43n_m,y_utm43n_m
00000000000000000c49_0,34,0.0199999995529651,Chelannur,1000.0,3.299999952316284,Kozhikode,0.144,40,19.600000381469727,596.52001953125,10,11.375,75.87200164794922,369.0,10.890000343322754,0.68854004,-0.65527856,2.0299999713897705,285.4200134277344,2557.849607229233,15.0,3,0.3871862850573349,26.8258086180154,3.200000047683716,7.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.87189930517283,11.3750961274907]}",595141.782362951,1257586.6763310595
00000000000000000cb5_0,258,0.4199999868869781,Chelannur,195.5,1.4800000190734863,Kozhikode,0.328,80,14.600000381469728,214.58999633789065,10,11.39799976348877,75.8030014038086,432.7000122070313,71.19999694824219,0.66562766,-0.64695996,1.6200000047683716,119.83999633789062,2520.648606777191,13.130000114440918,18,0.388927718449176,27.08397624803541,3.5999999046325684,7.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80290869135246,11.39800316723575]}",587605.8339104537,1260108.361472817
00000000000000000d02_0,10,0.4000000059604645,Chelannur,503.25,7.019999980926514,Kozhikode,0.189,41,52.09999847412109,100.91000366210938,10,11.414999961853027,75.81099700927734,117.0,21.399999618530277,0.736777,-0.6716285,1.600000023841858,16.799999237060547,2492.6605389118195,3.5,6,0.388927718449176,27.08397624803541,7.400000095367432,7.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81099352890953,11.414981326105604]}",588472.9292052793,1261990.7355312747
00000000000000000d14_0,99,0.1599999964237213,Chelannur,193.25,1.4500000476837158,Kozhikode,0.367,46,24.8799991607666,237.88999938964844,10,11.418999671936035,75.84700012207031,92.5999984741211,24.559999465942383,0.7410942,-0.6832718,1.5199999809265137,21.239999771118164,2492.6605389118195,16.8799991607666,18,0.388927718449176,27.08397624803541,7.150000095367432,3.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84710580333115,11.419023744884143]}",592399.530407439,1262444.2911148244
00000000000000000d15_0,131,0.1700000017881393,Chelannur,207.65,2.559999942779541,Kozhikode,0.195,74,29.520000457763672,175.05999755859375,10,11.416999816894531,75.84500122070312,62.5,28.950000762939453,0.6026576,-0.59131134,2.130000114440918,15.630000114440918,2492.6605389118195,18.1299991607666,22,0.388927718449176,27.08397624803541,8.5600004196167,3.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84494984664926,11.41686778820226]}",592182.100620531,1262222.5001642876
00000000000000000d26_0,46,0.2000000029802322,Chelannur,242.8,1.9900000095367432,Kozhikode,0.252,31,56.22999954223633,541.1799926757812,10,11.413999557495115,75.83399963378906,76.5,28.96999931335449,0.6891095,-0.6284774,1.440000057220459,48.31999969482422,2492.6605389118195,13.130000114440918,3,0.388927718449176,27.08397624803541,3.109999895095825,3.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83390056865457,11.413903347764666]}",590982.8023092252,1261887.236846405
00000000000000000d70_0,0,0.1400000005960464,Chelannur,956.75,2.059999942779541,Kozhikode,0.451,21,44.91999816894531,509.260009765625,10,11.333000183105469,75.78700256347656,84.75,12.399999618530272,0.53446555,-0.55510557,0.550000011920929,32.47999954223633,2548.534238815308,5.630000114440918,2,0.2622383692256825,26.741219429828163,4.21999979019165,7.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78700851082354,11.333054972193906]}",585879.7475663915,1252915.73586068
00000000000000000d82_0,299,0.1800000071525573,Chelannur,469.8,0.6600000262260437,Kozhikode,0.239,23,30.440000534057617,268.3500061035156,10,11.32699966430664,75.802001953125,129.1999969482422,10.479999542236328,0.75145036,-0.6915364,0.4199999868869781,11.199999809265137,2501.5871381759644,5.0,15,0.2622383692256825,26.741219429828163,4.860000133514404,7.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.80210020759674,11.327126091318718]}",587518.4428681631,1252256.6414046458
00000000000000000d8a_0,0,0.0799999982118606,Chelannur,590.7,0.699999988079071,Kozhikode,0.353,19,30.559999465942383,202.8300018310547,10,11.32699966430664,75.7760009765625,173.89999389648438,4.820000171661377,0.72049505,-0.6414687,0.1000000014901161,38.08000183105469,2548.534238815308,12.5,2,0.2622383692256825,26.741219429828163,2.880000114440918,7.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77595923282885,11.327126091318718]}",584680.923064341,1252248.9663456539
00000000000000000dc8_0,180,0.0799999982118606,Chelannur,511.0,0.6800000071525574,Kozhikode,0.633,12,36.47999954223633,385.5,10,11.314000129699709,75.83000183105469,80.9000015258789,4.440000057220459,0.6055422,-0.5418873,2.180000066757202,52.63999938964844,2501.5871381759644,5.630000114440918,1,0.2622383692256825,26.741219429828163,2.4800000190734863,7.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.83012764446127,11.313920856642163]}",590578.2121577224,1250827.6539993351
