target,samples,missing,min,max,mean,std,zero_count
pH,4908,0,3.5,8.0,5.89000814995925,0.7919112678959062,0
EC,4908,0,0.0,5.071,0.24121678891605544,0.23453295464403331,1
Organic_Carbon,4908,0,0.0299999993294477,7.03000020980835,1.8825574962299523,1.0609589690411823,0
P,4908,0,1.2999999523162842,285.4200134277344,53.00456190057723,47.18553286047142,0
K,4908,0,14.449999809265137,999.1499999999992,328.57900622793153,179.53731056424863,0
Ca,4908,0,0.0,1788.8,548.5087163814181,309.2863933449342,1
Mg,4908,0,1.6699999570846558,500.0,193.1932464782639,116.73150865298324,0
S,4908,0,0.0599999986588954,549.27001953125,26.5876410948928,26.731833936344497,0
Fe,4908,0,0.4799999892711639,213.8999938964844,33.304609996169276,34.59938782321335,0
Mn,4908,0,0.0,290.0,22.789193957197526,21.919258179345984,1
Zn,4908,0,0.0579999999999999,29.6299991607666,3.7837306670421427,4.0747116720812935,0
Cu,4908,0,0.0024999999441206,13.0,1.9246624378603554,2.052409924907754,0
B,4908,0,0.0080000003799796,4.869999885559082,0.37406420215082364,0.70425201901861,0
